spotify_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,emotion_vector
00309sp8DDeN07RtAyBKIX,0.0,0.6605237633365665,0.0,0.0,1.0,0.0,0.32104752667313285,0.3394762366634336,0.0 0.6605237633365665 0.0 0.0 1.0 0.0 0.32104752667313285 0.3394762366634336
003gesN9g85fPpsH1Gx5OO,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
003vvx7Niy0yvhvHt4a68B,0.22530534803747188,0.47824024665006526,0.0,0.047432704849994074,0.608680184987549,0.0,0.2134471718249733,0.4545238942250682,0.22530534803747188 0.47824024665006526 0.0 0.047432704849994074 0.608680184987549 0.0 0.2134471718249733 0.4545238942250682
00WvmRXTkPBZNhhRK3xfdy,0.0,0.3881852901318221,0.0,0.0,0.8489466551681655,0.06727855118886288,0.05235924602685721,0.5070962178144635,0.0 0.3881852901318221 0.0 0.0 0.8489466551681655 0.06727855118886288 0.05235924602685721 0.5070962178144635
00i2HU7TEzzftShjRrDSEF,0.0,0.0,0.0,0.6616399622997172,0.007540056550424129,0.6616399622997172,0.0,0.0,0.0 0.0 0.0 0.6616399622997172 0.007540056550424129 0.6616399622997172 0.0 0.0
00jqmEUSISjkugkuFxGiTo,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333 0.0 0.0 0.6666666666666666 0.0 1.0 0.0 0.0
00kG2B5W9MQYdPxrICYhNg,0.0,0.0,0.0,0.5375603032391453,0.35217091660923494,0.22053756030323912,0.0,0.0,0.0 0.0 0.0 0.5375603032391453 0.35217091660923494 0.22053756030323912 0.0 0.0
00qOE7OjRl0BpYiCiweZB2,0.1167128904998581,0.2581303603628342,0.004128108667197553,0.009162387529633595,0.8398183998315805,0.018764130305443424,0.11761906069509659,0.5107596269141701,0.1167128904998581 0.2581303603628342 0.004128108667197553 0.009162387529633595 0.8398183998315805 0.018764130305443424 0.11761906069509659 0.5107596269141701
01PCVuhAgFXmqr5YKNxNx0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
01PnRJeFSeOgIpBuv1kQKd,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
01R3dELmvQpeCgQQGHQPS6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
