tag,match,similarity_score
high energy,energetic,0.7516987323760986
high energy,explosive,0.5691572427749634
high energy,excitable,0.5326980352401733
high energy,enthusiasm,0.5131387710571289
high energy,hypertrophy,0.5112158060073853
high energy,frenetic,0.507350504398346
high energy,lofty,0.5003700256347656
happy,happy,1.000000238418579
feel good,happy,0.5883381962776184
feel good,happiness,0.5686466693878174
feel good,rejoicing,0.5453293919563293
feel good,gladness,0.5432369709014893
feel good,feeling,0.5161384344100952
feel good,joy,0.5145285725593567
feel good,jubilant,0.5115875601768494
forever in heart,everlasting,0.6230164170265198
forever in heart,indelible,0.5227714776992798
special feeling,special,0.6419968605041504
special feeling,feeling,0.5918928384780884
heroes,heroics,0.6836457252502441
heroes,hero,0.6820942759513855
heroes,heroism,0.6354528665542603
heroes,heroic,0.6281124353408813
heroes,superman,0.5542809963226318
heroes,marvel,0.5283700823783875
heroes,injustice,0.5090575218200684
elegant,elegant,0.9999998807907104
powerful,powerful,1.000000238418579
positive,affirmative,0.6842764616012573
positive,negative,0.6032294034957886
positive,favorable,0.5987286567687988
positive,beneficial,0.5049920082092285
optimistic,optimism,0.8109180331230164
optimistic,hopeful,0.6618992686271667
optimistic,optimist,0.6398646235466003
optimistic,pessimist,0.6257489323616028
optimistic,pessimism,0.581163763999939
optimistic,confident,0.5642945766448975
optimistic,cautious,0.5340217351913452
awesomeness,greatness,0.8047363758087158
awesomeness,coolness,0.6978087425231934
awesomeness,gladness,0.5732779502868652
awesomeness,wickedness,0.5451995134353638
awesomeness,outstanding,0.5440703630447388
awesomeness,goodness,0.530907928943634
awesomeness,superb,0.526881217956543
my baby loves me,baby,0.588812530040741
my baby loves me,love,0.5391407012939453
my baby loves me,infant,0.5134779214859009
jazzy fun,fun,0.6150474548339844
jazzy fun,playful,0.5335159301757812
aitch epic,epic,0.6180002689361572
aitch epic,illustrious,0.5047870874404907
praise,praise,0.9999999403953552
soulful,soulless,0.703826367855072
soulful,heartfelt,0.6057177782058716
soulful,sorrowful,0.6035254001617432
soulful,fruitful,0.5663524866104126
soulful,mournful,0.5549694299697876
soulful,luscious,0.5536917448043823
soulful,captivating,0.5519694089889526
broken hearts,heartache,0.7016613483428955
broken hearts,sadness,0.6149047613143921
broken hearts,heartfelt,0.5975682139396667
broken hearts,sorrow,0.5696674585342407
broken hearts,distraught,0.558488130569458
broken hearts,sympathy,0.547715425491333
broken hearts,mourning,0.5316429138183594
taste of chaos,chaos,0.7229433059692383
taste of chaos,chaotic,0.6334694027900696
taste of chaos,calamity,0.5451165437698364
taste of chaos,anarchy,0.5001516342163086
relaxing mood,relaxation,0.7930631637573242
relaxing mood,soothing,0.7154910564422607
relaxing mood,tranquil,0.6527202129364014
relaxing mood,soothe,0.603207528591156
relaxing mood,tranquility,0.5800099968910217
relaxing mood,serene,0.5710405111312866
relaxing mood,comfort,0.5338784456253052
good morning,greeting,0.6685683131217957
good morning,morn,0.5384633541107178
cruel intentions,vendetta,0.5929023623466492
cruel intentions,insidious,0.5698374509811401
cruel intentions,deliverance,0.5537145137786865
cruel intentions,memento,0.5337209701538086
cruel intentions,slaughterhouse,0.5286149978637695
cruel intentions,unbroken,0.5276584625244141
cruel intentions,exorcism,0.5256116390228271
pleasant,pleasant,1.0000001192092896
red shoes ecstasy,ecstasy,0.6800926923751831
red shoes ecstasy,trance,0.5117203593254089
success,success,1.000000238418579
wholesome fun,fun,0.6975711584091187
wholesome fun,wholesome,0.6523728370666504
wholesome fun,amusement,0.5906981229782104
wholesome fun,happiness,0.5463666915893555
wholesome fun,lovemaking,0.541824460029602
wholesome fun,joy,0.5326626300811768
wholesome fun,playful,0.5322893857955933
playground love,playground,0.7636740207672119
playground love,love,0.5880573391914368
sweetness,sweetness,1.0
in love,love,0.6838950514793396
in love,loving,0.5511929392814636
in love,smitten,0.5432453155517578
in love,fascination,0.5114352107048035
feeling good,rejoicing,0.6798592805862427
feeling good,feeling,0.6617057919502258
feeling good,happiness,0.6259720921516418
feeling good,gladness,0.6034172177314758
feeling good,exhilaration,0.5979706645011902
feeling good,happy,0.5930519104003906
feeling good,smiling,0.5733762979507446
joyous,joyous,0.9999998807907104
fun stuff,fun,0.6597133874893188
fun stuff,entertaining,0.5166150331497192
